Random Selection Percentage: 10.00%
Climate: Cold
Generation,Average Hot Fitness,Average Cold Fitness,Fittest Hot,Fittest Cold
0,10.37,9.63,14,16
1,8.90,11.10,13,16
2,6.57,13.43,12,17
3,5.07,14.93,11,18
4,4.10,15.90,6,18
5,3.47,16.53,7,20
6,2.53,17.47,7,19
7,1.70,18.30,5,20
8,1.30,18.70,4,20
9,1.10,18.90,3,20
10,0.87,19.13,3,20
11,0.77,19.23,3,20
12,0.70,19.30,3,20
13,0.57,19.43,3,20
14,0.80,19.20,4,20
15,1.00,19.00,3,20
16,0.70,19.30,3,20
17,0.90,19.10,4,20
18,0.67,19.33,3,20
19,0.87,19.13,3,20
20,0.97,19.03,4,20
21,0.53,19.47,3,20
22,0.70,19.30,2,20
23,0.63,19.37,2,20
24,0.47,19.53,3,20
25,0.67,19.33,2,20
26,0.87,19.13,3,20
27,0.77,19.23,3,20
28,0.57,19.43,3,20
29,0.80,19.20,4,20
